respondent_id,wtp,segment
R0135,15.98,Occasional
R0136,32.61,Practical
R0137,24.76,Enthusiast
R0138,15.56,Occasional
R0139,45.97,Practical
R0140,58.51,Enthusiast
R0141,18.83,Practical
R0142,51.41,Enthusiast
R0143,40.76,Practical
R0144,30.76,Practical
R0145,23.38,Practical
R0146,19.83,Practical
R0147,26.41,Practical
R0148,35.03,Practical
R0149,30.01,Occasional
R0150,44.92,Practical
R0151,34.66,Enthusiast
R0152,30.13,Enthusiast
R0153,38.35,Practical
R0154,18.32,Practical
R0155,31.14,Practical
R0156,26.87,Occasional
R0157,26.54,Practical
R0158,39.38,Occasional
R0159,25.52,Practical
R0160,19.22,Practical
R0161,41.43,Enthusiast
R0162,39.36,Practical
R0163,15.27,Practical
R0164,26.11,Occasional
R0165,60.24,Practical
R0166,39.01,Enthusiast
R0167,21.78,Occasional
R0168,18.2,Occasional
R0169,18.61,Practical
R0170,26.27,Practical
R0171,14.79,Occasional
R0172,23.55,Practical
R0173,45.61,Occasional
R0174,11.67,Occasional
R0175,25.4,Practical
R0176,41.46,Enthusiast
R0177,33.88,Practical
R0178,27.99,Practical
R0179,30.46,Practical
R0180,30.31,Practical
R0181,25.09,Occasional
R0182,36.62,Practical
R0183,30.23,Enthusiast
R0184,30.46,Practical
R0185,30.03,Practical
R0186,59.29,Enthusiast
R0187,26.78,Occasional
R0188,32.98,Occasional
R0189,26.92,Practical
R0190,33.59,Occasional
R0191,49.18,Practical
R0192,34.09,Practical
R0193,30.88,Enthusiast
R0194,51.49,Enthusiast
R0195,25.83,Occasional
R0196,20.76,Occasional
R0197,15.62,Occasional
R0198,20.71,Occasional
R0199,28.03,Occasional
R0200,22.07,Occasional
R0201,29.83,Enthusiast
R0202,29.11,Practical
R0203,33.3,Practical
R0204,42.24,Practical
R0205,29.41,Occasional
R0206,26.82,Occasional
R0207,20.09,Practical
R0208,43.14,Practical
R0209,55.84,Enthusiast
R0210,28.79,Enthusiast
R0211,32.89,Enthusiast
R0212,46.47,Practical
R0213,52.28,Enthusiast
R0214,17.03,Practical
R0215,74.41,Enthusiast
R0216,28.79,Practical
R0217,23.46,Occasional
R0218,53.08,Enthusiast
R0219,20.19,Occasional
R0220,28.73,Practical
R0221,21.21,Practical
R0222,29.02,Practical
R0223,42.15,Practical
R0224,19.84,Practical
R0225,29.06,Practical
R0226,21.46,Occasional
R0227,53.59,Enthusiast
R0228,22.12,Practical
R0229,30.82,Practical
R0230,36.1,Practical
R0231,49.43,Enthusiast
R0232,52.79,Enthusiast
R0233,33.42,Practical
R0234,16.55,Occasional
R0235,31.76,Occasional
R0236,21.78,Practical
R0237,28.19,Practical
R0238,33.91,Practical
R0239,60.04,Enthusiast
R0240,23.15,Practical
R0241,25.94,Practical
R0242,11.7,Occasional
R0243,22.92,Practical
R0244,41.72,Enthusiast
R0245,27.59,Occasional
R0246,22.2,Occasional
R0247,17.77,Occasional
R0248,32.44,Practical
R0249,27.68,Occasional
R0250,41.46,Practical
R0251,25.97,Occasional
R0252,14.91,Occasional
R0253,79.02,Enthusiast
R0254,33.52,Practical
R0255,33.92,Practical
R0256,16.98,Occasional
R0257,29.04,Practical
R0258,17.91,Occasional
R0259,19.12,Practical
R0260,48.01,Enthusiast
R0261,32.37,Enthusiast
R0262,41.09,Practical
R0263,39.88,Enthusiast
R0264,42.24,Enthusiast
R0265,56.93,Enthusiast
R0266,36.99,Practical
R0267,42.26,Enthusiast
R0268,59.14,Enthusiast
R0269,25.51,Practical
R0270,40.57,Practical
R0271,37.58,Occasional
R0272,29.58,Occasional
R0273,14.37,Practical
R0274,56.13,Enthusiast
R0275,42.27,Practical
R0276,47.54,Enthusiast
R0277,58.03,Practical
R0278,34.86,Enthusiast
R0279,35.43,Practical
R0280,23.82,Practical
R0281,46.48,Practical
R0282,34.24,Practical
R0283,20.99,Practical
R0284,28.5,Enthusiast
R0285,54.1,Enthusiast
R0286,55.74,Enthusiast
R0287,20.21,Practical
R0288,44.71,Enthusiast
R0289,21.03,Occasional
R0290,62.42,Enthusiast
R0291,27.75,Practical
R0292,21.78,Occasional
R0293,45.63,Enthusiast
R0294,61.49,Enthusiast
R0295,21.08,Occasional
R0296,31.22,Practical
R0297,44.54,Enthusiast
R0298,79.24,Enthusiast
R0299,45.01,Practical
R0300,30.68,Occasional
R0301,19.86,Occasional
R0302,35.03,Enthusiast
R0303,44.61,Occasional
R0304,44.8,Enthusiast
R0305,60.47,Enthusiast
R0306,37.9,Enthusiast
R0307,64.67,Practical
R0308,24.24,Occasional
R0309,83.61,Enthusiast
R0310,46.85,Enthusiast
R0311,25.52,Practical
R0312,24.82,Enthusiast
R0313,45.65,Enthusiast
R0314,54.89,Enthusiast
R0315,36.4,Occasional
R0316,38.85,Practical
R0317,48.97,Practical
R0318,23.68,Occasional
R0319,18.64,Practical
R0320,43.11,Enthusiast
R0321,31.18,Occasional
R0322,22.78,Occasional
R0323,27.46,Enthusiast
R0324,30.25,Occasional
R0325,22.4,Practical
R0326,21.45,Practical
R0327,35.57,Enthusiast
R0328,23.02,Occasional
R0329,34.42,Occasional
R0330,34.73,Practical
R0331,25.62,Occasional
R0332,16.79,Occasional
R0333,53.08,Enthusiast
R0334,14.73,Occasional
R0335,34.3,Enthusiast
R0336,32.43,Practical
R0337,42.27,Practical
R0338,25.11,Practical
R0339,35.07,Occasional
R0340,54.84,Enthusiast
R0341,18.12,Occasional
R0342,50.35,Enthusiast
R0343,72.85,Enthusiast
R0344,24.59,Practical
R0345,30.85,Occasional
R0346,46.18,Enthusiast
R0347,24.54,Practical
R0348,36.2,Occasional
R0349,41.18,Enthusiast
R0350,30.22,Practical
R0351,59.56,Enthusiast
R0352,19.43,Occasional
R0353,44.35,Enthusiast
R0354,38.28,Practical
R0355,20.35,Occasional
R0356,25.68,Occasional
R0357,23.35,Occasional
R0358,21.65,Practical
R0359,30.01,Practical
R0360,29.77,Occasional
R0361,24.33,Enthusiast
R0362,47.61,Enthusiast
R0363,56.39,Enthusiast
R0364,39.52,Practical
R0365,22.45,Occasional
R0366,43.68,Practical
R0367,39.55,Enthusiast
R0368,25.31,Enthusiast
R0369,39.23,Practical
R0370,41.22,Practical
R0371,38.81,Practical
R0372,67.29,Enthusiast
R0373,39.12,Practical
R0374,20.86,Practical
R0375,22.84,Occasional
R0376,34.58,Occasional
R0377,40.06,Practical
R0378,43.57,Occasional
R0379,25.38,Practical
R0380,50.78,Enthusiast
R0381,25.5,Practical
R0382,22.81,Practical
R0383,41.55,Practical
R0384,18.72,Practical
R0385,28.62,Occasional
R0386,24.6,Occasional
R0387,28.48,Practical
R0388,14.59,Practical
R0389,37.34,Enthusiast
R0390,22.74,Occasional
R0391,38.64,Practical
R0392,35.41,Practical
R0393,29.56,Practical
R0394,41.61,Practical
R0395,21.53,Practical
R0396,50.29,Practical
R0397,37.48,Practical
R0398,41.9,Practical
R0399,23.57,Practical
R0400,22.71,Practical
R0401,15.9,Occasional
R0402,34.24,Enthusiast
R0403,27.0,Occasional
R0404,22.16,Practical
R0405,20.95,Practical
R0406,38.47,Enthusiast
R0407,26.06,Practical
R0408,15.73,Occasional
R0409,26.69,Practical
R0410,33.62,Enthusiast
R0411,20.78,Practical
R0412,39.45,Enthusiast
R0413,33.94,Practical
R0414,29.03,Practical
R0415,34.92,Enthusiast
R0416,24.44,Occasional
R0417,19.0,Practical
R0418,21.41,Occasional
R0419,35.05,Enthusiast
R0420,29.82,Enthusiast
R0421,18.61,Occasional
R0422,32.32,Practical
R0423,47.16,Enthusiast
R0424,50.63,Enthusiast
R0425,44.55,Enthusiast
R0426,51.82,Enthusiast
R0427,30.05,Practical
R0428,26.03,Occasional
R0429,25.58,Practical
R0430,28.85,Practical
R0431,25.58,Practical
R0432,24.81,Practical
R0433,26.47,Occasional
R0434,55.1,Enthusiast
R0435,38.69,Practical
R0436,30.98,Practical
R0437,22.69,Occasional
R0438,30.02,Practical
R0439,37.81,Enthusiast
R0440,19.75,Practical
R0441,22.76,Practical
R0442,24.49,Occasional
R0443,23.91,Practical
R0444,15.16,Practical
R0445,22.27,Occasional
R0446,32.54,Occasional
R0447,30.57,Practical
R0448,23.45,Occasional
R0449,19.33,Occasional
R0450,24.74,Occasional
R0451,32.06,Practical
R0452,29.35,Occasional
R0453,20.78,Practical
R0454,62.95,Practical
R0455,70.9,Enthusiast
R0456,17.14,Occasional
R0457,62.97,Enthusiast
R0458,30.91,Occasional
R0459,25.66,Practical
R0460,85.0,Enthusiast
R0461,40.95,Occasional
R0462,46.33,Enthusiast
R0463,19.08,Occasional
R0464,21.1,Occasional
R0465,44.39,Practical
R0466,43.1,Practical
R0467,34.6,Occasional
R0468,48.04,Enthusiast
R0469,17.05,Practical
R0470,16.62,Occasional
R0471,26.06,Enthusiast
R0472,23.37,Occasional
R0473,63.56,Enthusiast
R0474,34.04,Occasional
R0475,29.93,Enthusiast
R0476,27.04,Occasional
R0477,24.42,Practical
R0478,22.05,Occasional
R0479,23.84,Practical
R0480,31.34,Practical
R0481,17.77,Occasional
R0482,45.2,Enthusiast
R0483,33.39,Practical
R0484,13.09,Occasional
R0485,29.45,Practical
R0486,31.59,Occasional
R0487,19.09,Occasional
R0488,24.73,Enthusiast
R0489,41.11,Practical
R0490,32.42,Occasional
R0491,34.79,Practical
R0492,15.51,Occasional
R0493,27.25,Occasional
R0494,27.05,Occasional
R0495,32.17,Enthusiast
R0496,57.95,Enthusiast
R0497,43.26,Occasional
R0498,44.46,Enthusiast
R0499,25.54,Practical
R0500,25.41,Practical
R0501,26.42,Occasional
R0502,23.66,Occasional
R0503,37.45,Practical
R0504,30.24,Practical
R0505,50.22,Practical
R0506,32.34,Enthusiast
R0507,27.1,Occasional
R0508,41.58,Enthusiast
R0509,36.3,Enthusiast
R0510,20.4,Occasional
R0511,25.49,Practical
R0512,34.81,Enthusiast
R0513,46.59,Occasional
R0514,23.14,Occasional
R0515,21.54,Practical
R0516,39.87,Enthusiast
R0517,33.71,Enthusiast
R0518,61.04,Practical
R0519,18.03,Practical
R0520,21.04,Occasional
R0521,25.57,Occasional
R0522,29.65,Practical
R0523,53.43,Enthusiast
R0524,60.28,Enthusiast
R0525,28.02,Enthusiast
R0526,18.93,Occasional
R0527,68.66,Enthusiast
R0528,24.88,Enthusiast
R0529,31.25,Practical
R0530,43.49,Enthusiast
R0531,34.06,Practical
R0532,25.33,Practical
R0533,27.08,Occasional
R0534,25.84,Occasional
R0535,23.92,Enthusiast
R0536,20.36,Practical
R0537,43.14,Practical
R0538,30.08,Practical
R0539,38.58,Practical
R0540,19.33,Practical
R0541,44.53,Enthusiast
R0542,23.94,Practical
R0543,47.39,Occasional
R0544,43.4,Enthusiast
R0545,35.49,Enthusiast
R0546,14.85,Occasional
R0547,52.07,Practical
R0548,27.11,Occasional
R0549,48.59,Enthusiast
R0550,31.5,Practical
R0551,30.63,Occasional
R0552,35.62,Enthusiast
R0553,54.87,Practical
R0554,29.0,Practical
R0555,52.6,Enthusiast
R0556,28.25,Practical
R0557,69.52,Enthusiast
R0558,28.65,Practical
R0559,43.9,Enthusiast
R0560,36.2,Practical
R0561,36.81,Enthusiast
R0562,21.28,Occasional
R0563,44.73,Practical
R0564,32.73,Occasional
R0565,44.31,Practical
R0566,42.61,Practical
R0567,25.69,Occasional
R0568,27.92,Practical
R0569,28.41,Practical
R0570,26.23,Practical
R0571,34.04,Practical
R0572,35.43,Practical
R0573,22.29,Occasional
R0574,29.71,Occasional
R0575,42.67,Practical
R0576,29.11,Enthusiast
R0577,26.25,Occasional
R0578,33.67,Practical
R0579,31.26,Occasional
R0580,24.49,Practical
R0581,25.06,Occasional
R0582,46.18,Occasional
R0583,28.84,Occasional
R0584,26.04,Occasional
R0585,46.88,Enthusiast
R0586,35.55,Occasional
R0587,17.87,Occasional
R0588,17.94,Practical
R0589,33.6,Practical
R0590,26.3,Occasional
R0591,47.97,Enthusiast
R0592,11.38,Occasional
R0593,42.57,Occasional
R0594,31.11,Practical
R0595,42.32,Enthusiast
R0596,31.28,Practical
R0597,28.21,Practical
R0598,21.76,Practical
R0599,17.76,Occasional
R0600,35.24,Practical
R0601,23.06,Practical
R0602,28.04,Practical
R0603,26.82,Practical
R0604,71.57,Enthusiast
R0605,30.23,Practical
R0606,38.5,Practical
R0607,30.23,Practical
R0608,34.72,Occasional
R0609,23.14,Practical
R0610,24.76,Occasional
R0611,35.73,Practical
R0612,19.24,Occasional
R0613,26.65,Occasional
R0614,44.34,Practical
R0615,62.43,Enthusiast
R0616,20.72,Occasional
R0617,26.99,Practical
R0618,24.38,Practical
R0619,85.0,Enthusiast
R0620,28.03,Enthusiast
R0621,25.4,Occasional
R0622,45.57,Practical
R0623,23.82,Occasional
R0624,41.74,Enthusiast
R0625,30.25,Practical
R0626,38.45,Enthusiast
R0627,40.0,Enthusiast
R0628,60.19,Occasional
R0629,21.53,Occasional
R0630,29.2,Practical
R0631,20.68,Practical
R0632,18.27,Occasional
R0633,20.24,Practical
R0634,34.52,Practical
R0635,36.1,Practical
R0636,28.26,Practical
R0637,44.07,Practical
R0638,20.24,Occasional
R0639,34.41,Practical
R0640,43.68,Enthusiast
R0641,23.96,Occasional
R0642,19.52,Practical
R0643,43.41,Enthusiast
R0644,35.56,Enthusiast
R0645,22.84,Practical
R0646,18.23,Enthusiast
R0647,35.53,Enthusiast
R0648,32.39,Practical
R0649,41.9,Enthusiast
R0650,16.98,Occasional
R0651,45.01,Enthusiast
R0652,26.32,Practical
R0653,37.42,Enthusiast
R0654,24.21,Occasional
R0655,35.14,Practical
R0656,46.65,Enthusiast
R0657,39.37,Practical
R0658,26.96,Practical
R0659,20.25,Practical
R0660,51.9,Practical
R0661,50.89,Enthusiast
R0662,37.62,Occasional
R0663,51.76,Practical
R0664,63.16,Enthusiast
R0665,29.05,Practical
R0666,51.52,Enthusiast
R0667,28.4,Occasional
R0668,56.95,Enthusiast
R0669,25.82,Occasional
R0670,61.41,Enthusiast
R0671,47.98,Practical
R0672,43.37,Occasional
R0673,45.27,Practical
R0674,23.21,Practical
R0675,28.37,Practical
R0676,22.79,Practical
R0677,41.69,Practical
R0678,19.86,Occasional
R0679,25.19,Practical
R0680,55.57,Practical
R0681,18.36,Occasional
R0682,25.39,Occasional
R0683,34.88,Practical
R0684,13.64,Occasional
R0685,23.86,Occasional
R0686,24.97,Practical
R0687,46.26,Enthusiast
R0688,33.87,Practical
R0689,24.59,Practical
R0690,26.31,Practical
R0691,25.87,Practical
R0692,17.47,Occasional
R0693,23.48,Practical
R0694,30.38,Occasional
R0695,15.36,Occasional
R0696,23.85,Occasional
R0697,39.95,Enthusiast
R0698,35.35,Occasional
R0699,26.55,Practical
R0700,27.87,Occasional
R0701,32.44,Practical
R0702,24.57,Practical
R0703,29.43,Practical
R0704,29.88,Enthusiast
R0705,43.79,Occasional
R0706,45.86,Enthusiast
R0707,37.7,Practical
R0708,23.12,Occasional
R0709,27.02,Occasional
R0710,46.1,Practical
R0711,29.08,Practical
R0712,20.97,Occasional
R0713,20.59,Occasional
R0714,36.2,Practical
R0715,43.37,Enthusiast
R0716,29.76,Practical
R0717,60.73,Enthusiast
R0718,31.75,Practical
R0719,27.52,Practical
R0720,49.19,Practical
R0721,16.51,Practical
R0722,30.53,Practical
R0723,25.65,Practical
R0724,21.93,Practical
R0725,17.95,Enthusiast
R0726,30.49,Occasional
R0727,26.53,Practical
R0728,33.28,Occasional
R0729,35.0,Practical
R0730,25.36,Occasional
R0731,17.49,Occasional
R0732,39.07,Enthusiast
R0733,15.34,Enthusiast
R0734,32.34,Practical
R0735,30.91,Occasional
R0736,32.43,Enthusiast
R0737,34.43,Practical
R0738,32.54,Enthusiast
R0739,66.18,Enthusiast
R0740,37.12,Occasional
R0741,52.71,Enthusiast
R0742,50.64,Enthusiast
R0743,37.16,Enthusiast
R0744,20.63,Occasional
R0745,47.61,Enthusiast
R0746,26.16,Occasional
R0747,44.74,Enthusiast
R0748,55.84,Enthusiast
R0749,31.85,Enthusiast
R0750,25.65,Practical
R0751,41.07,Enthusiast
R0752,46.56,Practical
R0753,36.29,Occasional
R0754,33.06,Practical
R0755,16.86,Occasional
R0756,33.82,Practical
R0757,32.42,Occasional
R0758,25.64,Practical
R0759,30.02,Practical
R0760,29.77,Practical
R0761,26.84,Enthusiast
R0762,32.04,Practical
R0763,32.0,Practical
R0764,42.14,Enthusiast
R0765,35.95,Practical
R0766,31.5,Occasional
R0767,27.69,Occasional
R0768,83.32,Enthusiast
R0769,43.11,Practical
R0770,37.71,Practical
R0771,30.66,Enthusiast
R0772,28.05,Practical
R0773,39.5,Practical
R0774,25.24,Practical
R0775,49.48,Enthusiast
R0776,36.42,Occasional
R0777,21.7,Occasional
R0778,46.85,Occasional
R0779,17.89,Occasional
R0780,29.3,Practical
R0781,17.3,Occasional
R0782,26.36,Enthusiast
R0783,28.99,Practical
R0784,28.26,Practical
R0785,27.37,Occasional
R0786,29.68,Practical
R0787,26.37,Occasional
R0788,41.31,Occasional
R0789,28.53,Practical
R0790,17.92,Occasional
R0791,25.83,Practical
R0792,26.53,Practical
R0793,21.4,Occasional
R0794,20.83,Practical
R0795,21.34,Occasional
R0796,31.65,Occasional
R0797,17.35,Occasional
R0798,28.79,Occasional
R0799,71.51,Enthusiast
R0800,33.54,Enthusiast
R0801,45.53,Enthusiast
R0802,26.0,Practical
R0803,48.46,Practical
R0804,37.29,Occasional
R0805,15.9,Occasional
R0806,22.31,Practical
R0807,17.26,Occasional
R0808,33.76,Occasional
R0809,32.04,Practical
R0810,18.19,Practical
R0811,36.89,Practical
R0812,33.43,Occasional
R0813,19.05,Occasional
R0814,50.58,Practical
R0815,26.57,Occasional
R0816,31.23,Practical
R0817,28.91,Practical
R0818,69.18,Enthusiast
R0819,29.29,Practical
R0820,25.24,Occasional
R0821,27.42,Practical
R0822,15.52,Occasional
R0823,39.44,Enthusiast
R0824,17.56,Practical
R0825,25.3,Occasional
R0826,37.56,Practical
R0827,30.74,Practical
R0828,37.41,Occasional
R0829,43.68,Enthusiast
R0830,17.15,Occasional
R0831,37.67,Practical
R0832,46.75,Enthusiast
R0833,42.97,Practical
R0834,29.64,Practical
R0835,31.45,Occasional
R0836,42.24,Practical
R0837,41.57,Practical
R0838,36.61,Enthusiast
R0839,38.59,Practical
R0840,39.82,Practical
R0841,50.02,Practical
R0842,33.05,Practical
R0843,70.88,Practical
R0844,18.61,Occasional
R0845,30.05,Occasional
R0846,30.84,Practical
R0847,28.02,Practical
R0848,41.25,Occasional
R0849,30.29,Practical
R0850,31.35,Practical
R0851,30.44,Occasional
R0852,34.58,Practical
R0853,32.42,Occasional
R0854,14.02,Practical
R0855,31.17,Occasional
R0856,30.45,Enthusiast
R0857,38.98,Practical
R0858,25.3,Practical
R0859,33.62,Practical
R0860,23.96,Practical
R0861,35.14,Practical
R0862,31.88,Practical
R0863,23.7,Practical
R0864,41.87,Practical
R0865,23.16,Practical
R0866,23.2,Practical
R0867,45.37,Occasional
R0868,28.83,Practical
R0869,27.54,Practical
R0870,30.53,Practical
R0871,22.29,Occasional
R0872,53.88,Enthusiast
R0873,22.36,Occasional
R0874,29.9,Practical
R0875,46.53,Practical
R0876,17.01,Practical
R0877,24.41,Occasional
R0878,43.17,Enthusiast
R0879,69.49,Practical
R0880,37.84,Enthusiast
R0881,27.09,Occasional
R0882,26.72,Occasional
R0883,35.42,Enthusiast
R0884,23.06,Practical
R0885,20.48,Occasional
R0886,44.94,Enthusiast
R0887,85.0,Enthusiast
R0888,27.15,Occasional
R0889,27.66,Practical
R0890,46.17,Enthusiast
R0891,27.6,Occasional
R0892,22.47,Enthusiast
R0893,26.33,Enthusiast
R0894,43.19,Occasional
R0895,30.11,Practical
R0896,76.89,Practical
R0897,30.73,Practical
R0898,21.31,Occasional
R0899,54.65,Practical
R0900,22.41,Occasional
