customer_id,assigned_price,purchased,baseline_orders
C0151,29.0,1,1
C0152,39.0,0,0
C0153,39.0,0,0
C0154,24.0,0,4
C0155,39.0,1,0
C0156,24.0,1,1
C0157,24.0,1,4
C0158,34.0,0,2
C0159,24.0,1,3
C0160,34.0,1,3
C0161,24.0,1,1
C0162,29.0,1,0
C0163,24.0,0,2
C0164,24.0,1,4
C0165,24.0,0,3
C0166,34.0,0,1
C0167,29.0,1,3
C0168,39.0,0,3
C0169,24.0,1,1
C0170,24.0,0,1
C0171,29.0,1,0
C0172,39.0,0,0
C0173,39.0,0,4
C0174,29.0,1,0
C0175,29.0,1,3
C0176,39.0,0,1
C0177,29.0,1,5
C0178,34.0,0,3
C0179,24.0,1,2
C0180,29.0,1,2
C0181,24.0,0,3
C0182,39.0,0,3
C0183,29.0,1,3
C0184,29.0,0,0
C0185,39.0,0,5
C0186,24.0,1,1
C0187,24.0,1,2
C0188,34.0,1,0
C0189,24.0,1,5
C0190,24.0,1,0
C0191,24.0,0,0
C0192,24.0,0,1
C0193,29.0,1,1
C0194,24.0,0,5
C0195,34.0,0,2
C0196,24.0,1,3
C0197,34.0,0,1
C0198,39.0,0,3
C0199,24.0,1,2
C0200,24.0,1,1
C0201,39.0,0,2
C0202,34.0,1,0
C0203,29.0,1,6
C0204,39.0,0,3
C0205,34.0,0,2
C0206,39.0,0,4
C0207,24.0,1,2
C0208,29.0,1,1
C0209,34.0,0,2
C0210,34.0,0,1
C0211,34.0,0,1
C0212,24.0,1,4
C0213,34.0,0,5
C0214,24.0,0,2
C0215,29.0,0,1
C0216,39.0,0,1
C0217,24.0,0,1
C0218,24.0,0,1
C0219,34.0,1,0
C0220,24.0,0,1
C0221,29.0,0,5
C0222,29.0,1,4
C0223,24.0,0,5
C0224,29.0,1,1
C0225,39.0,0,1
C0226,29.0,1,1
C0227,29.0,1,1
C0228,24.0,1,3
C0229,39.0,0,2
C0230,34.0,1,4
C0231,29.0,0,2
C0232,34.0,1,4
C0233,29.0,0,0
C0234,39.0,0,2
C0235,39.0,1,3
C0236,39.0,0,1
C0237,24.0,1,0
C0238,34.0,0,4
C0239,24.0,1,3
C0240,29.0,0,2
C0241,34.0,0,2
C0242,24.0,0,4
C0243,39.0,0,2
C0244,34.0,0,1
C0245,29.0,0,0
C0246,29.0,1,1
C0247,24.0,0,1
C0248,29.0,1,2
C0249,29.0,1,2
C0250,29.0,0,4
C0251,34.0,0,0
C0252,34.0,0,2
C0253,39.0,1,5
C0254,39.0,1,3
C0255,39.0,0,4
C0256,24.0,1,4
C0257,29.0,0,2
C0258,34.0,0,6
C0259,24.0,1,4
C0260,29.0,1,2
C0261,34.0,1,2
C0262,24.0,0,4
C0263,29.0,1,1
C0264,24.0,0,3
C0265,29.0,0,3
C0266,24.0,0,1
C0267,24.0,1,0
C0268,29.0,1,1
C0269,39.0,0,1
C0270,24.0,0,1
C0271,29.0,0,2
C0272,39.0,0,2
C0273,34.0,0,7
C0274,34.0,0,3
C0275,34.0,0,1
C0276,39.0,1,1
C0277,34.0,0,1
C0278,34.0,0,3
C0279,29.0,1,7
C0280,39.0,0,0
C0281,39.0,0,3
C0282,39.0,1,1
C0283,29.0,1,0
C0284,29.0,1,3
C0285,29.0,1,4
C0286,29.0,1,1
C0287,39.0,0,0
C0288,39.0,0,1
C0289,39.0,1,3
C0290,29.0,0,3
C0291,24.0,0,3
C0292,34.0,0,1
C0293,29.0,1,2
C0294,29.0,1,0
C0295,34.0,0,2
C0296,24.0,0,3
C0297,39.0,0,2
C0298,34.0,0,5
C0299,29.0,0,0
C0300,24.0,1,0
C0301,39.0,0,1
C0302,34.0,1,3
C0303,34.0,0,2
C0304,39.0,0,1
C0305,24.0,1,1
C0306,39.0,0,1
C0307,34.0,1,1
C0308,24.0,0,7
C0309,39.0,0,1
C0310,34.0,1,3
C0311,34.0,0,2
C0312,39.0,0,3
C0313,24.0,1,4
C0314,29.0,1,4
C0315,24.0,0,2
C0316,39.0,0,1
C0317,34.0,1,3
C0318,29.0,1,0
C0319,29.0,1,1
C0320,24.0,0,4
C0321,34.0,1,1
C0322,39.0,0,0
C0323,24.0,1,4
C0324,24.0,1,4
C0325,29.0,0,1
C0326,39.0,0,2
C0327,24.0,0,1
C0328,39.0,0,1
C0329,39.0,0,2
C0330,24.0,0,0
C0331,34.0,0,3
C0332,29.0,0,3
C0333,24.0,0,4
C0334,39.0,0,3
C0335,24.0,1,2
C0336,34.0,1,3
C0337,34.0,0,3
C0338,34.0,1,1
C0339,34.0,0,1
C0340,39.0,1,1
C0341,29.0,0,1
C0342,34.0,0,3
C0343,34.0,0,1
C0344,29.0,0,2
C0345,34.0,1,0
C0346,39.0,0,2
C0347,24.0,1,1
C0348,39.0,1,1
C0349,39.0,1,3
C0350,29.0,1,3
C0351,24.0,0,2
C0352,24.0,0,2
C0353,39.0,0,1
C0354,29.0,1,3
C0355,29.0,1,1
C0356,34.0,0,5
C0357,29.0,1,0
C0358,24.0,0,4
C0359,24.0,1,4
C0360,34.0,1,2
C0361,34.0,0,1
C0362,34.0,1,4
C0363,39.0,0,0
C0364,39.0,0,2
C0365,34.0,0,2
C0366,39.0,1,2
C0367,39.0,0,1
C0368,39.0,1,4
C0369,39.0,0,2
C0370,34.0,1,1
C0371,34.0,1,4
C0372,34.0,0,1
C0373,29.0,1,2
C0374,39.0,0,5
C0375,34.0,1,1
C0376,39.0,0,3
C0377,34.0,1,3
C0378,24.0,1,2
C0379,29.0,0,2
C0380,34.0,0,4
C0381,39.0,1,2
C0382,34.0,1,2
C0383,34.0,0,4
C0384,29.0,1,4
C0385,29.0,0,0
C0386,24.0,0,1
C0387,24.0,0,1
C0388,24.0,0,2
C0389,24.0,0,1
C0390,24.0,0,3
C0391,29.0,1,3
C0392,34.0,0,5
C0393,29.0,0,1
C0394,39.0,0,2
C0395,34.0,0,2
C0396,39.0,0,1
C0397,34.0,1,2
C0398,24.0,1,2
C0399,39.0,1,0
C0400,34.0,1,1
C0401,24.0,1,4
C0402,29.0,1,1
C0403,34.0,0,0
C0404,34.0,0,1
C0405,34.0,1,1
C0406,34.0,1,1
C0407,39.0,0,2
C0408,39.0,1,4
C0409,29.0,0,1
C0410,34.0,0,3
C0411,29.0,0,1
C0412,34.0,1,2
C0413,39.0,0,2
C0414,24.0,1,1
C0415,39.0,0,2
C0416,24.0,1,1
C0417,29.0,0,4
C0418,29.0,0,1
C0419,24.0,1,2
C0420,29.0,1,1
C0421,24.0,0,3
C0422,39.0,0,1
C0423,39.0,0,3
C0424,34.0,1,3
C0425,24.0,0,0
C0426,39.0,1,1
C0427,24.0,1,3
C0428,29.0,0,3
C0429,24.0,1,3
C0430,34.0,1,1
C0431,34.0,0,0
C0432,24.0,1,4
C0433,39.0,0,2
C0434,24.0,0,1
C0435,34.0,1,3
C0436,39.0,1,6
C0437,24.0,1,0
C0438,29.0,1,0
C0439,34.0,1,3
C0440,39.0,0,7
C0441,29.0,0,1
C0442,24.0,1,1
C0443,29.0,1,3
C0444,39.0,0,2
C0445,29.0,1,1
C0446,39.0,0,3
C0447,39.0,0,0
C0448,24.0,0,1
C0449,39.0,0,1
C0450,29.0,0,2
C0451,39.0,0,2
C0452,34.0,1,1
C0453,24.0,1,4
C0454,24.0,0,2
C0455,29.0,1,3
C0456,39.0,0,3
C0457,39.0,1,2
C0458,39.0,0,2
C0459,29.0,1,4
C0460,24.0,1,1
C0461,24.0,1,2
C0462,29.0,0,1
C0463,34.0,0,5
C0464,39.0,0,1
C0465,24.0,1,2
C0466,29.0,0,2
C0467,39.0,0,0
C0468,29.0,1,1
C0469,39.0,0,2
C0470,29.0,1,4
C0471,34.0,0,1
C0472,29.0,0,1
C0473,24.0,1,2
C0474,39.0,0,3
C0475,29.0,1,1
C0476,34.0,1,3
C0477,39.0,1,1
C0478,39.0,0,2
C0479,34.0,1,4
C0480,24.0,1,3
C0481,34.0,0,3
C0482,34.0,0,0
C0483,39.0,0,1
C0484,24.0,0,3
C0485,39.0,0,3
C0486,34.0,0,2
C0487,29.0,1,2
C0488,39.0,0,1
C0489,24.0,1,2
C0490,24.0,0,1
C0491,24.0,1,0
C0492,24.0,0,1
C0493,29.0,0,2
C0494,24.0,0,1
C0495,34.0,0,2
C0496,24.0,0,7
C0497,34.0,1,5
C0498,34.0,0,1
C0499,39.0,0,2
C0500,34.0,0,1
C0501,29.0,0,0
C0502,39.0,0,5
C0503,29.0,0,1
C0504,29.0,1,3
C0505,29.0,0,3
C0506,24.0,0,5
C0507,29.0,1,4
C0508,24.0,1,2
C0509,24.0,1,3
C0510,29.0,1,4
C0511,24.0,1,1
C0512,29.0,0,3
C0513,29.0,1,1
C0514,34.0,0,1
C0515,34.0,1,0
C0516,34.0,0,2
C0517,34.0,1,0
C0518,39.0,0,4
C0519,39.0,0,4
C0520,24.0,1,4
C0521,39.0,1,1
C0522,39.0,1,4
C0523,29.0,1,4
C0524,34.0,0,1
C0525,34.0,0,3
C0526,34.0,1,2
C0527,39.0,1,4
C0528,29.0,1,8
C0529,39.0,0,2
C0530,24.0,1,0
C0531,39.0,0,1
C0532,39.0,0,1
C0533,39.0,1,2
C0534,24.0,1,2
C0535,29.0,0,0
C0536,24.0,0,6
C0537,29.0,0,3
C0538,34.0,0,4
C0539,34.0,0,1
C0540,29.0,1,1
C0541,29.0,0,1
C0542,39.0,0,0
C0543,24.0,0,2
C0544,24.0,1,5
C0545,24.0,1,2
C0546,34.0,0,1
C0547,34.0,0,0
C0548,29.0,0,2
C0549,24.0,0,6
C0550,24.0,1,0
C0551,29.0,1,0
C0552,39.0,0,4
C0553,34.0,0,4
C0554,24.0,1,2
C0555,29.0,0,4
C0556,29.0,1,4
C0557,39.0,0,3
C0558,24.0,1,2
C0559,29.0,0,6
C0560,29.0,0,1
C0561,24.0,1,4
C0562,24.0,1,4
C0563,39.0,0,1
C0564,34.0,0,1
C0565,24.0,0,4
C0566,34.0,1,1
C0567,29.0,1,1
C0568,39.0,0,3
C0569,34.0,0,3
C0570,29.0,1,0
C0571,39.0,0,1
C0572,24.0,0,2
C0573,34.0,1,1
C0574,24.0,1,2
C0575,34.0,1,2
C0576,34.0,0,1
C0577,34.0,0,4
C0578,29.0,1,3
C0579,29.0,1,3
C0580,29.0,1,3
C0581,29.0,1,2
C0582,29.0,0,0
C0583,24.0,0,1
C0584,24.0,1,2
C0585,34.0,1,2
C0586,39.0,0,1
C0587,24.0,0,0
C0588,29.0,0,2
C0589,29.0,0,2
C0590,34.0,0,1
C0591,29.0,1,0
C0592,39.0,0,2
C0593,34.0,0,0
C0594,39.0,0,0
C0595,24.0,1,2
C0596,24.0,1,1
C0597,34.0,1,0
C0598,29.0,1,2
C0599,24.0,1,2
C0600,34.0,0,2
C0601,34.0,0,2
C0602,24.0,1,2
C0603,34.0,0,2
C0604,34.0,0,1
C0605,34.0,0,0
C0606,34.0,1,3
C0607,24.0,1,3
C0608,34.0,0,2
C0609,39.0,0,2
C0610,29.0,0,0
C0611,34.0,0,1
C0612,29.0,1,3
C0613,29.0,1,0
C0614,24.0,0,5
C0615,24.0,1,4
C0616,39.0,1,0
C0617,34.0,0,1
C0618,34.0,0,2
C0619,39.0,0,2
C0620,39.0,0,1
C0621,24.0,1,1
C0622,39.0,1,0
C0623,39.0,0,2
C0624,24.0,1,0
C0625,39.0,0,1
C0626,29.0,0,1
C0627,24.0,1,2
C0628,24.0,0,2
C0629,34.0,1,1
C0630,39.0,0,0
C0631,34.0,1,3
C0632,24.0,1,4
C0633,39.0,0,1
C0634,29.0,1,1
C0635,24.0,0,2
C0636,24.0,0,6
C0637,24.0,1,2
C0638,24.0,1,0
C0639,34.0,1,2
C0640,24.0,0,3
C0641,24.0,1,0
C0642,39.0,1,4
C0643,29.0,1,1
C0644,34.0,1,1
C0645,29.0,0,5
C0646,34.0,0,4
C0647,34.0,0,5
C0648,24.0,0,4
C0649,29.0,0,1
C0650,29.0,0,2
C0651,29.0,0,1
C0652,39.0,1,1
C0653,39.0,0,3
C0654,34.0,1,1
C0655,34.0,0,1
C0656,34.0,0,5
C0657,29.0,1,2
C0658,39.0,1,0
C0659,39.0,0,0
C0660,34.0,1,1
C0661,34.0,0,1
C0662,39.0,0,1
C0663,24.0,1,2
C0664,39.0,0,2
C0665,34.0,0,1
C0666,39.0,1,3
C0667,39.0,0,3
C0668,29.0,1,0
C0669,24.0,0,1
C0670,29.0,1,0
C0671,29.0,1,2
C0672,24.0,0,4
C0673,39.0,0,3
C0674,34.0,0,2
C0675,29.0,1,0
C0676,24.0,1,1
C0677,39.0,0,1
C0678,34.0,0,0
C0679,39.0,0,2
C0680,29.0,1,3
C0681,24.0,1,2
C0682,34.0,0,1
C0683,34.0,0,2
C0684,24.0,0,1
C0685,39.0,0,2
C0686,29.0,1,3
C0687,29.0,0,2
C0688,39.0,1,2
C0689,29.0,1,1
C0690,24.0,0,2
C0691,34.0,1,2
C0692,34.0,0,4
C0693,29.0,1,1
C0694,29.0,0,6
C0695,39.0,0,1
C0696,24.0,0,0
C0697,24.0,0,2
C0698,34.0,1,3
C0699,24.0,1,2
C0700,24.0,1,2
C0701,34.0,0,0
C0702,29.0,0,4
C0703,24.0,1,0
C0704,39.0,0,0
C0705,24.0,1,0
C0706,29.0,1,2
C0707,34.0,1,2
C0708,39.0,0,2
C0709,29.0,1,3
C0710,24.0,0,3
C0711,34.0,0,3
C0712,29.0,0,1
C0713,34.0,0,6
C0714,29.0,1,3
C0715,29.0,1,0
C0716,34.0,0,5
C0717,39.0,0,2
C0718,24.0,0,0
C0719,34.0,1,1
C0720,29.0,1,1
